Pixel X,Pixel Y,Shadow Start Timestamp,Shadow End Timestamp,Shadow Duration (minutes),Average Power Blocked (W/m²)
786,493,17-07-2025 17:36,17-07-2025 18:06,30,525.7765586
783,494,17-07-2025 17:44,17-07-2025 18:12,28,492.8366348
784,494,17-07-2025 17:42,17-07-2025 18:12,30,497.5368285
785,494,17-07-2025 17:40,17-07-2025 18:10,30,506.9733459
786,494,17-07-2025 17:40,17-07-2025 18:10,30,506.9733459
783,495,17-07-2025 17:46,17-07-2025 18:16,30,478.5977809
784,495,17-07-2025 17:46,17-07-2025 18:15,29,480.9826881
785,495,17-07-2025 17:44,17-07-2025 18:14,30,488.0780512
786,495,17-07-2025 17:44,17-07-2025 18:13,29,490.4581304
783,496,17-07-2025 17:51,17-07-2025 18:20,29,457.2042673
784,496,17-07-2025 17:49,17-07-2025 18:19,30,464.3387669
785,496,17-07-2025 17:49,17-07-2025 18:17,28,469.1209168
786,496,17-07-2025 17:46,17-07-2025 18:17,31,476.2113895
783,497,17-07-2025 17:54,17-07-2025 18:23,29,442.879534
784,497,17-07-2025 17:53,17-07-2025 18:22,29,447.6590219
785,497,17-07-2025 17:53,17-07-2025 18:21,28,450.0579917
786,497,17-07-2025 17:51,17-07-2025 18:20,29,457.2042673
783,498,17-07-2025 17:57,17-07-2025 18:26,29,428.5148067
784,498,17-07-2025 17:56,17-07-2025 18:26,30,430.901267
785,498,17-07-2025 17:56,17-07-2025 18:24,28,435.7122147
786,498,17-07-2025 17:54,17-07-2025 18:23,29,442.879534
783,499,17-07-2025 18:01,17-07-2025 18:30,29,409.3043223
784,499,17-07-2025 18:00,17-07-2025 18:29,29,414.1128003
785,499,17-07-2025 17:59,17-07-2025 18:28,29,418.9174419
786,499,17-07-2025 17:59,17-07-2025 18:27,28,421.3277864
783,500,17-07-2025 18:04,17-07-2025 18:33,29,394.856906
784,500,17-07-2025 18:03,17-07-2025 18:32,29,399.6762711
785,500,17-07-2025 18:02,17-07-2025 18:31,29,404.4921114
786,500,17-07-2025 18:01,17-07-2025 18:30,29,409.3043223
783,501,17-07-2025 18:08,17-07-2025 18:36,28,377.9701564
784,501,17-07-2025 18:06,17-07-2025 18:36,30,382.7859866
785,501,17-07-2025 18:05,17-07-2025 18:34,29,390.0341213
786,501,17-07-2025 18:05,17-07-2025 18:33,28,392.4539545
783,502,17-07-2025 18:11,17-07-2025 18:40,29,361.0315809
784,502,17-07-2025 18:11,17-07-2025 18:38,27,365.8856379
785,502,17-07-2025 18:10,17-07-2025 18:37,27,370.7244276
786,502,17-07-2025 18:08,17-07-2025 18:36,28,377.9701564
783,503,17-07-2025 18:15,17-07-2025 18:43,28,344.0730926
784,503,17-07-2025 18:13,17-07-2025 18:42,29,351.3416021
785,503,17-07-2025 18:13,17-07-2025 18:41,28,353.7710041
786,503,17-07-2025 18:12,17-07-2025 18:40,28,358.6162728
783,504,17-07-2025 18:18,17-07-2025 18:46,28,329.50951
